route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
708436803,1240001025013,,高速：三次～広島線,,3,,,
3639980207,1240001025013,,高速：庄原～広島線,,3,,,
3000524979,1240001025013,,敷名線,,3,,,
2010039002,1240001025013,,敷名廻神線/上田小線,,3,,,
41002009,1240001025013,,庄原駅→★備後西城駅,,3,,,
935591245,1240001025013,,口和線,,3,,,
2531580290,1240001025013,,三城線,,3,,,
1677966273,1240001025013,,高速：東城～庄原線,,3,,,
34291009,1240001025013,高速広島線,広島駅新幹線口→桜花の郷ラフォーレ庄原,,3,,,
2342965103,1240001025013,,県大線,,3,,,
40701000,1240001025013,,東城駅前→★備後落合駅前,,3,,,
1935967071,1240001025013,,高野線,,3,,,
2945424403,1240001025013,,作木線,,3,,,
3594007467,1240001025013,,畠敷線,,3,,,
1585841209,1240001025013,,下高野線,,3,,,
4089288656,1240001025013,,高田南部線,,3,,,
1617148066,1240001025013,,小奴可線（粟田）,,3,,,
2363215440,1240001025013,,三良坂線,,3,,,
34391000,1240001025013,高速広島線,東城駅前→広島駅新幹線口,,3,,,
626816974,1240001025013,,保田線,,3,,,
90055000,1240001025013,赤名線,赤名→ゆめランド布野,,3,,,
279517487,1240001025013,,三次吉田線,,3,,,
2629305760,1240001025013,,湯木線,,3,,,
40802009,1240001025013,,★備後落合駅前→東城駅前,,3,,,
2894458260,1240001025013,,本村線,,3,,,
40600009,1240001025013,,★備後落合駅前→東城駅前,,3,,,
2843705126,1240001025013,,三城線（西城～庄原）,,3,,,
41102000,1240001025013,,★備後西城駅→庄原駅,,3,,,
34382009,1240001025013,高速広島線,新幹線→ノン・五日市→帝釈,,3,,,
90852000,1240001025013,,比和バイパス→庄原駅,,3,,,
674604999,1240001025013,,三良坂実留線,,3,,,
34381000,1240001025013,高速広島線,東城→ノン・五日市→新幹線,,3,,,
4225438671,1240001025013,,東城市街地循環バス,,3,,,
3579469604,1240001025013,,赤名線,,3,,,
90055009,1240001025013,赤名線,ゆめランド布野→赤名,,3,,,
41323000,1240001025013,,★備後西城駅→庄原駅,,3,,,
90744000,1240001025013,三城線,庄原駅→三次駅前,,3,,,
40801000,1240001025013,,東城駅前→★備後落合駅前,,3,,,
41500009,1240001025013,,庄原駅→★備後西城駅,,3,,,
34381009,1240001025013,高速広島線,新幹線→ノン・五日市→東城,,3,,,
2108524318,1240001025013,,小奴可線（日野原）,,3,,,
34382000,1240001025013,高速広島線,帝釈→ノン・五日市→新幹線,,3,,,
41402009,1240001025013,,庄原駅→★備後西城駅,,3,,,
2820692300,1240001025013,,三次市内線,,3,,,
40902000,1240001025013,,★備後西城駅→庄原駅,,3,,,
90852009,1240001025013,高野線,庄原駅→比和（バイパス）,,3,,,
2133785649,1240001025013,,ひまわりバス,,3,,,
34291000,1240001025013,高速広島線,桜花の郷ラフォーレ庄原→広島駅新幹線口,,3,,,
34391009,1240001025013,高速広島線,広島駅新幹線口→東城駅前,,3,,,
